Dates,Close,ATM_IV,IV_25D_PUT
2025-08-04,60415.695448475555,57.38185632651247,83.63168619344866
2025-08-05,60848.94793253017,59.762185287869606,88.67332220425754
2025-08-06,61004.29302477069,69.70599378385302,102.87804377895827
2025-08-07,61703.331903033606,63.76536729199644,92.41279023534231
2025-08-08,62012.04057268816,73.93784950991159,96.35972158669047
2025-08-09,62054.39912353749,60.32072367106919,82.7678938345521
2025-08-10,63288.08542632131,47.83562327941411,68.2786269564562
2025-08-11,62628.05354413541,61.749572381650864,89.36679648441874
2025-08-12,62716.48069545757,61.85473583036126,88.15778621928811
2025-08-13,63216.33915689516,59.33920739406466,88.2551260573191
2025-08-14,63845.20299475652,53.906596478149886,78.77229196461475
2025-08-15,63295.22535948122,42.68573231940442,66.44488890261988
2025-08-16,63802.79562859297,56.71472542713294,77.32348333355087
2025-08-17,64308.27856387906,83.38366431784206,111.74669675224732
2025-08-18,65632.1130676223,67.7029225140974,87.68235027749367
2025-08-19,65676.38627731393,40.0,61.27947537191653
2025-08-20,65054.10253600953,51.21600552338779,69.28274677407747
2025-08-21,63815.81739656504,60.818560824900636,86.03018392461327
2025-08-22,64180.421425429675,80.83324020199375,103.63132194403244
2025-08-23,64399.27785660738,88.56863874568606,114.26382927843677
2025-08-24,63645.888962852434,64.57398095991276,96.33874114283964
2025-08-25,62602.94478404125,49.40315967476401,76.14341939372602
2025-08-26,62257.729581572516,70.84960627533943,94.89843805179801
2025-08-27,63404.64746521809,66.37506814004121,88.7306710407908
2025-08-28,64009.586573913424,48.47632647154334,72.03396024319488
2025-08-29,63984.497329497804,52.26740385365805,75.91375216078654
2025-08-30,64834.72681998229,53.991290255937976,76.47560391640987
2025-08-31,64968.47095731194,42.44640704073702,63.76603874106788
2025-09-01,65276.51397968924,63.45698423073327,88.16705365071402
2025-09-02,65569.03860836639,76.32478671082158,94.2114410906078
2025-09-03,65528.76049622603,79.08814915601022,92.8702252887469
2025-09-04,65112.772686112694,86.5527770779835,113.76438201160049
2025-09-05,64667.12660741749,60.75507683692037,93.21195766073708
2025-09-06,64534.36401161645,73.88610943285065,101.01183471533179
2025-09-07,64385.861914915615,62.56331811641947,78.75221266579432
2025-09-08,65100.09145297849,52.5768717826761,79.01237050345553
2025-09-09,64755.98892209389,60.533962119505446,89.00770897028738
2025-09-10,65489.096699553775,85.76322821844721,111.80258617603427
2025-09-11,65815.04941393295,54.271388667547804,75.53483032925459
2025-09-12,66334.59687866326,69.66133978004626,84.65298248180976
2025-09-13,65983.14799085225,69.48338563202152,86.77871290814349
2025-09-14,66560.25722239802,78.137286307145,97.05995871687924
2025-09-15,66651.01094128065,54.74791758328358,80.53066132073884
2025-09-16,67161.03861504674,72.53892159333247,94.31013740874475
2025-09-17,66911.11577749068,68.69166858207632,87.98235237281365
2025-09-18,66135.47227895711,67.21052417639005,86.65209474384504
2025-09-19,66171.73311395894,87.54124054651918,106.66401224751813
2025-09-20,66993.94044005292,42.110945771401916,61.39675571494468
2025-09-21,67768.93337546624,82.66112841804272,97.98928402723791
2025-09-22,67392.6461649607,51.98772994896319,72.86012675615216
2025-09-23,67321.21474570355,76.62906960594091,93.06320771006713
2025-09-24,69216.30195773313,40.0,47.985790215055026
2025-09-25,69153.39551432904,75.43981602734132,85.41100990994714
2025-09-26,71390.74678777729,67.92378791284807,81.3077017388807
2025-09-27,71709.1158905434,67.62774679729257,72.62774679729257
2025-09-28,71701.90925285225,48.52850974594848,68.53886343730977
2025-09-29,71027.9616385102,40.0,63.015426637685295
2025-09-30,70429.68800638217,46.58790444470749,72.47386154732
2025-10-01,70861.60646332098,60.195927789324166,74.56542523494676
2025-10-02,70910.96142662175,66.83273557692576,88.28489566592174
2025-10-03,70332.880817536,87.7720148126365,97.19936447772282
2025-10-04,69224.63726669784,59.81570161546914,80.6237294052212
2025-10-05,69157.39609595932,48.87710880821415,65.4130233551377
2025-10-06,70059.04626437557,103.9936119612407,118.33047670695396
2025-10-07,69292.58228307364,62.864212589467535,82.45116320474166
2025-10-08,69134.98265688856,63.02098479865909,76.59036685971417
2025-10-09,69349.06219133444,68.87483996141042,88.5693138697813
2025-10-10,68083.59426076525,49.70005392983082,66.75747804267579
2025-10-11,67650.44543447395,81.49520263825205,103.51222002633979
2025-10-12,67544.51424280988,48.75098982195992,66.21326419991516
2025-10-13,67800.67125111124,76.0513333992227,100.76341782930557
2025-10-14,67105.7447738975,75.20267629652612,94.38771352054805
2025-10-15,67111.79448559147,92.06515419205931,111.93434578064347
2025-10-16,67415.21099577015,60.6678734230193,78.88526391813546
2025-10-17,67406.21344999141,57.612341253580055,81.10079212778429
2025-10-18,66118.70945247021,89.37891724564793,115.17135727684933
2025-10-19,66509.3643357747,69.39950626451636,102.28586761084102
2025-10-20,68092.46408038911,74.98315942660962,84.38249721451976
2025-10-21,68138.56931421587,53.93056402598259,70.83348371690303
2025-10-22,67130.75204866407,69.58860211499777,90.62170285685141
2025-10-23,67453.1856639886,50.90859285839717,78.31920123724228
2025-10-24,67668.04828696276,85.02549045623326,105.71683713852315
2025-10-25,68643.23545494067,47.05435601731165,60.43648878936385
2025-10-26,69335.86329287098,58.66556809489677,70.53262173846507
2025-10-27,68865.50367432079,59.07495959476903,73.57471219974138
2025-10-28,68829.30398684069,40.4760526947172,48.45748809720389
2025-10-29,68241.8975102423,74.79047778043895,85.51133661457683
2025-10-30,67693.75071024247,79.0985569126641,90.61476639726862
2025-10-31,69060.9775400803,69.3580441043832,86.7257512094577
2025-11-01,69272.47627879164,88.85287127857455,95.56332753929813
